Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM10,PM25
5/30/2022,32,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,32,5,14
5/31/2022,31,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,31,9,20
6/1/2022,32,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,32,11,23
6/2/2022,27,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,27,12,21
6/3/2022,26,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,26,7,13
6/4/2022,21,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,21,4,13
6/5/2022,25,Ozone,Eugene - Saginaw,41-039-1007,AQS,25,2,9
6/6/2022,26,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,26,6,14
6/7/2022,24,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,22,10,24
6/8/2022,24,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,24,6,17
6/9/2022,22,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,22,12,18
6/10/2022,14,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,14,2,8
6/11/2022,20,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,20,3,11
6/12/2022,24,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,24,3,13
6/13/2022,26,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,26,5,16
6/14/2022,32,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,32,7,22
6/15/2022,29,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,25,11,29
6/16/2022,31,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,31,5,16
6/17/2022,28,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,28,5,19
6/18/2022,27,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,27,6,20
6/19/2022,22,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,22,3,11
6/20/2022,32,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,32,7,16
6/21/2022,40,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,40,12,23
6/22/2022,25,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,25,8,19
6/23/2022,36,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,36,15,19
6/24/2022,42,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,42,18,25
6/25/2022,43,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,43,18,30
6/26/2022,45,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,45,14,30
6/27/2022,36,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,36,12,29
6/28/2022,23,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,23,10,21
6/29/2022,27,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,27,10,22
6/30/2022,31,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,31,10,24
7/1/2022,32,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,30,12,32
7/2/2022,30,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,23,9,30
7/3/2022,27,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,23,6,27
7/4/2022,31,PM2.5,Oakridge - (OAK),41-039-2013,AQS,30,9,31
7/5/2022,20,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,20,6,19
7/6/2022,15,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,15,4,13
7/7/2022,16,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,16,3,13
7/8/2022,24,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,24,7,18
7/9/2022,24,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,24,6,20
7/10/2022,32,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,32,8,15
7/11/2022,45,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,45,19,27
7/12/2022,37,Ozone,Eugene - Saginaw,41-039-1007,AQS,37,15,27
7/13/2022,33,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,33,13,21
7/14/2022,32,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,32,12,28
7/15/2022,25,PM2.5,Oakridge - (OAK),41-039-2013,AQS,23,6,25
7/16/2022,19,PM2.5,Oakridge - (OAK),41-039-2013,AQS,14,5,19
7/17/2022,26,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,26,9,19
7/18/2022,34,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,34,22,21
7/19/2022,44,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,44,15,28
7/20/2022,46,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,46,14,33
7/21/2022,26,PM2.5,Oakridge - (OAK),41-039-2013,AQS,24,8,26
7/22/2022,32,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,32,14,16
7/23/2022,31,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,31,15,20
7/24/2022,44,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,44,16,29
7/25/2022,90,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,90,26,48
7/26/2022,87,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,87,26,47
7/27/2022,52,PM2.5,Oakridge - (OAK),41-039-2013,AQS,47,23,52
7/28/2022,58,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,58,23,53
7/29/2022,64,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,64,28,58
7/30/2022,64,PM2.5,Oakridge - (OAK),41-039-2013,AQS,45,20,64
7/31/2022,53,PM2.5,Oakridge - (OAK),41-039-2013,AQS,29,14,53
8/1/2022,30,PM2.5,Oakridge - (OAK),41-039-2013,AQS,20,8,30
8/2/2022,34,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,34,10,24
8/3/2022,32,PM2.5,Oakridge - (OAK),41-039-2013,AQS,27,10,32
8/4/2022,34,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,34,20,22
8/5/2022,41,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,41,20,25
8/6/2022,54,PM2.5,Oakridge - (OAK),41-039-2013,AQS,50,22,54
8/7/2022,70,PM2.5,Oakridge - (OAK),41-039-2013,AQS,49,24,70
8/8/2022,42,PM2.5,Oakridge - (OAK),41-039-2013,AQS,23,12,42
8/9/2022,35,PM2.5,Oakridge - (OAK),41-039-2013,AQS,30,14,35
8/10/2022,24,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,24,6,20
8/11/2022,40,PM2.5,Oakridge - (OAK),41-039-2013,AQS,27,11,40
8/12/2022,28,PM2.5,"
",41-039-0070,AQS,27,6,28
8/13/2022,36,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,36,14,23
8/14/2022,32,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,32,11,29
8/15/2022,35,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,35,19,31
8/16/2022,38,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,38,29,31
8/17/2022,74,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,74,41,66
8/18/2022,87,PM2.5,Oakridge - (OAK),41-039-2013,AQS,31,34,87
8/19/2022,45,PM2.5,Oakridge - (OAK),41-039-2013,AQS,15,11,45
8/20/2022,21,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,21,8,20
8/21/2022,77,PM2.5,Oakridge - (OAK),41-039-2013,AQS,34,24,77
8/22/2022,22,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,22,6,17
8/23/2022,34,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,34,25,20
8/24/2022,41,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,41,18,38
8/25/2022,49,PM2.5,Oakridge - (OAK),41-039-2013,AQS,40,19,49
8/26/2022,32,PM2.5,Oakridge - (OAK),41-039-2013,AQS,24,13,32
8/27/2022,28,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,28,18,17
8/28/2022,32,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,32,16,29
8/29/2022,49,PM2.5,Oakridge - (OAK),41-039-2013,AQS,44,41,49
8/30/2022,64,PM2.5,Oakridge - (OAK),41-039-2013,AQS,44,29,64
8/31/2022,79,PM2.5,Oakridge - (OAK),41-039-2013,AQS,36,30,79
9/1/2022,110,PM2.5,Oakridge - (OAK),41-039-2013,AQS,51,44,110
9/2/2022,84,PM2.5,Oakridge - (OAK),41-039-2013,AQS,30,22,84
9/3/2022,55,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,30,11,55
9/4/2022,39,PM2.5,Oakridge - (OAK),41-039-2013,AQS,25,8,39
9/5/2022,41,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,41,38,35
9/6/2022,145,PM2.5,Oakridge - (OAK),41-039-2013,AQS,46,47,145
9/7/2022,60,PM2.5,Oakridge - (OAK),41-039-2013,AQS,45,48,60
9/8/2022,48,PM2.5,Oakridge - (OAK),41-039-2013,AQS,40,37,48
9/9/2022,229,PM2.5,Oakridge - (OAK),41-039-2013,AQS,27,133,229
9/10/2022,385,PM2.5,Oakridge - (OAK),41-039-2013,AQS,47,198,385
9/11/2022,204,PM2.5,Oakridge - (OAK),41-039-2013,AQS,31,102,204
9/12/2022,55,PM2.5,Oakridge - (OAK),41-039-2013,AQS,26,21,55
9/13/2022,48,PM2.5,Oakridge - (OAK),41-039-2013,AQS,29,14,48
9/14/2022,45,PM2.5,"
",41-039-0070,AQS,30,17,45
9/15/2022,37,PM2.5,Oakridge - (OAK),41-039-2013,AQS,28,13,37
9/16/2022,32,Ozone,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,32,19,20
9/17/2022,178,PM2.5,Oakridge - (OAK),41-039-2013,AQS,28,79,178
9/18/2022,175,PM2.5,Oakridge - (OAK),41-039-2013,AQS,30,73,175
9/19/2022,330,PM2.5,Oakridge - (OAK),41-039-2013,AQS,28,151,330
9/20/2022,179,PM2.5,Oakridge - (OAK),41-039-2013,AQS,12,78,179
9/21/2022,258,PM2.5,Oakridge - (OAK),41-039-2013,AQS,16,120,258
9/22/2022,88,PM2.5,Oakridge - (OAK),41-039-2013,AQS,30,28,88
9/23/2022,177,PM2.5,Oakridge - (OAK),41-039-2013,AQS,33,76,177
9/24/2022,157,PM2.5,Oakridge - (OAK),41-039-2013,AQS,34,59,157
9/25/2022,157,PM2.5,Oakridge - (OAK),41-039-2013,AQS,40,58,157
9/26/2022,154,PM2.5,Oakridge - (OAK),41-039-2013,AQS,46,57,154
9/27/2022,163,PM2.5,Oakridge - (OAK),41-039-2013,AQS,24,64,163
9/28/2022,59,PM2.5,Oakridge - (OAK),41-039-2013,AQS,30,17,59
9/29/2022,40,PM2.5,Oakridge - (OAK),41-039-2013,AQS,28,9,40
9/30/2022,228,PM2.5,Oakridge - (OAK),41-039-2013,AQS,19,120,228
10/1/2022,155,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,55,155
10/2/2022,146,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,52,146
10/3/2022,161,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,64,161
10/4/2022,176,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,74,176
10/5/2022,159,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,59,159
10/6/2022,239,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,114,239
10/7/2022,244,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,117,244
10/8/2022,288,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,136,288
10/9/2022,255,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,122,255
10/10/2022,323,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,153,323
10/11/2022,193,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,89,193
10/12/2022,351,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,169,351
10/13/2022,326,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,160,326
10/14/2022,362,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,196,362
10/15/2022,333,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,181,333
10/16/2022,158,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,65,158
10/17/2022,206,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,106,206
10/18/2022,359,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,195,359
10/19/2022,380,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,212,380
10/20/2022,303,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,164,303
10/21/2022,164,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,68,164
10/22/2022,16,PM2.5,"
",41-039-0100,AQS,.,4,16
10/23/2022,26,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,6,26
10/24/2022,52,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,12,52
10/25/2022,25,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,9,25
10/26/2022,28,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,6,28
10/27/2022,59,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,16,59
10/28/2022,56,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,17,56
10/29/2022,55,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,16,55
10/30/2022,53,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,14,53
10/31/2022,28,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,10,28
11/1/2022,20,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,5,20
11/2/2022,43,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,9,43
11/3/2022,66,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,17,66
11/4/2022,41,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,9,41
11/5/2022,24,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,7,24
11/6/2022,29,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,6,29
11/7/2022,26,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,5,26
11/8/2022,64,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,10,64
11/9/2022,75,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,23,75
11/10/2022,85,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,28,85
11/11/2022,67,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,18,67
11/12/2022,62,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,14,62
11/13/2022,66,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,16,66
11/14/2022,74,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,23,74
11/15/2022,82,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,27,82
11/16/2022,86,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,30,86
11/17/2022,88,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,30,88
11/18/2022,67,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,23,67
11/19/2022,89,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,25,89
11/20/2022,116,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,40,116
11/21/2022,111,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,43,111
11/22/2022,68,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,19,68
11/23/2022,54,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,14,54
11/24/2022,53,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,11,53
11/25/2022,42,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,10,42
11/26/2022,55,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,11,55
11/27/2022,29,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,6,29
11/28/2022,28,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,5,28
11/29/2022,41,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,9,41
11/30/2022,26,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,5,26
12/1/2022,43,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,9,43
12/2/2022,60,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,11,60
12/3/2022,59,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,13,59
12/4/2022,62,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,13,62
12/5/2022,57,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,11,57
12/6/2022,58,PM2.5,Eugene  Wilkes Drive,41-039-0101,AQS,.,11,58
12/7/2022,69,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,15,69
12/8/2022,53,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,12,53
12/9/2022,33,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,6,33
12/10/2022,20,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,5,20
12/11/2022,28,PM2.5,Eugene  Wilkes Drive,41-039-0101,AQS,.,7,28
12/12/2022,33,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,8,33
12/13/2022,54,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,13,54
12/14/2022,71,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,18,71
12/15/2022,62,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,17,62
12/16/2022,99,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,31,99
12/17/2022,87,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,28,87
12/18/2022,47,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,9,47
12/19/2022,72,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,20,72
12/20/2022,80,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,25,80
12/21/2022,49,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,11,49
12/22/2022,30,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,6,30
12/23/2022,69,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,16,69
12/24/2022,60,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,14,60
12/25/2022,58,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,15,58
12/26/2022,28,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,6,28
12/27/2022,33,PM2.5,"
",41-039-0100,AQS,.,5,33
12/28/2022,22,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,3,22
12/29/2022,28,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,4,28
12/30/2022,31,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,6,31
12/31/2022,39,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,6,39
1/1/2023,41,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,7,41
1/2/2023,33,PM2.5,Eugene  Wilkes Drive,41-039-0101,AQS,.,6,33
1/3/2023,40,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,7,40
1/4/2023,54,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,6,54
1/5/2023,39,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,7,39
1/6/2023,60,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,14,60
1/7/2023,42,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,8,42
1/8/2023,48,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,9,48
1/9/2023,58,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,14,58
1/10/2023,49,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,9,49
1/11/2023,39,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,9,39
1/12/2023,72,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,20,72
1/13/2023,35,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,9,35
1/14/2023,20,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,3,20
1/15/2023,15,PM2.5,"
",41-039-0100,AQS,.,3,15
1/16/2023,27,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,6,27
1/17/2023,25,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,7,25
1/18/2023,24,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,6,24
1/19/2023,48,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,11,48
1/20/2023,42,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,10,42
1/21/2023,34,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,8,34
1/22/2023,51,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,11,51
1/23/2023,64,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,16,64
1/24/2023,54,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,13,54
1/25/2023,49,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,10,49
1/26/2023,41,PM2.5,Eugene  Wilkes Drive,41-039-0101,AQS,.,9,41
1/27/2023,29,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,6,29
1/28/2023,17,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,3,17
1/29/2023,41,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,10,41
1/30/2023,85,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,28,85
1/31/2023,109,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,40,109
2/1/2023,83,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,34,83
2/2/2023,92,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,37,92
2/3/2023,65,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,18,65
2/4/2023,71,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,20,71
2/5/2023,37,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,8,37
2/6/2023,31,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,12,31
2/7/2023,33,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,6,33
2/8/2023,59,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,16,59
2/9/2023,58,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,16,58
2/10/2023,53,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,12,53
2/11/2023,43,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,11,43
2/12/2023,58,PM2.5,Eugene  Wilkes Drive,41-039-0101,AQS,.,15,58
2/13/2023,40,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,9,40
2/14/2023,41,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,9,41
2/15/2023,58,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,17,58
2/16/2023,68,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,26,68
2/17/2023,51,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,17,51
2/18/2023,55,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,15,55
2/19/2023,52,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,19,52
2/20/2023,55,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,16,55
2/21/2023,19,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,4,19
2/22/2023,35,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,8,35
2/23/2023,25,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,7,25
2/24/2023,47,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,14,47
2/25/2023,61,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,17,61
2/26/2023,36,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,9,36
2/27/2023,29,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,6,29
2/28/2023,28,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,6,28
3/1/2023,35,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,7,35
3/2/2023,28,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,6,28
3/3/2023,32,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,6,32
3/4/2023,38,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,8,38
3/5/2023,38,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,7,38
3/6/2023,26,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,4,26
3/7/2023,22,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,3,22
3/8/2023,27,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,6,27
3/9/2023,23,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,5,23
3/10/2023,22,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,6,22
3/11/2023,35,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,8,35
3/12/2023,30,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,7,30
3/13/2023,26,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,6,26
3/14/2023,36,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,8,36
3/15/2023,42,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,8,42
3/16/2023,56,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,20,56
3/17/2023,57,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,21,57
3/18/2023,65,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,23,65
3/19/2023,50,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,14,50
3/20/2023,15,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,4,15
3/21/2023,34,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,7,34
3/22/2023,33,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,14,33
3/23/2023,19,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,4,19
3/24/2023,28,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,7,28
3/25/2023,42,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,8,42
3/26/2023,36,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,8,36
3/27/2023,35,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,7,35
3/28/2023,20,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,5,20
3/29/2023,25,PM2.5,Eugene  Wilkes Drive,41-039-0101,AQS,.,6,25
